SOURCENAME	OBSID		FUND_AMP		FUND_FREQ 	FUND_FWHM	HARM_AMP		HARM_FREQ	HARM_FWHM	PHASE_MEAN	PHASE_ERROR FREQSTEP
xtej1650_B   60113-01-15-00   0.052824218381380655   1.53052148768   0.777059807032   0.06232471680889766   2.77517307505   7.03630823162   0.645303302136   0.0364116883568   0.125
xtej1550_B   30191-01-32-00   0.05326098866973512   5.35768471755   0.74698959079   0.023107903427247563   10.5882936318   1.7787678403   0.541795549882   0.0371250905253   0.0625
xtej1550_B   30191-01-34-01   0.05311790496419578   4.89003861117   0.501902217177   0.020148143273204508   9.87916220945   1.15515929829   0.629668512067   0.0741764510915   0.0625
xtej1550_B   40401-01-51-01   0.048350819382977264   5.86555904458   0.67219678296   0.019221221336170505   11.6379236927   2.03630503512   0.555296715128   0.0315331600954   0.0625
xtej1550_B   40401-01-53-00   0.04773152833609306   6.29681477145   0.671179146025   0.01968300874709884   12.2969179579   1.80883521853   0.56792147576   0.0249805048108   0.0625
xtej1550_B   40401-01-55-00   0.0487022560024803   6.10059120128   0.766745897708   0.01984902191763926   11.94375   1.83297351356   0.556225669946   0.0124300792195   0.0625
xtej1550_B   40401-01-56-01   0.05258115842038478   6.01610883433   0.719288450819   0.026558405937448112   11.7932214197   2.85863258012   0.571270506927   0.0561870392705   0.0625
xtej1550_B   40401-01-58-00   0.060639067027006256   5.44630693759   0.832185613784   0.027801272848707054   10.6448036632   1.84070181331   0.557169358887   0.0187116328662   0.0625
xtej1550_B   50134-02-02-00   0.08004259158369594   4.452159602   0.509220118786   0.04278639637349103   8.8371225544   2.25933162721   0.635376814518   0.0424504124447   0.0625
xtej1752_B   95360-01-01-00   0.09880288097203076   3.53938804157   0.714961783412   0.04593961300708656   6.83357159386   2.58639602736   0.572927956504   0.0328452134865   0.125
xtej1752_B   95360-01-01-00   0.09858536952445308   3.53973746711   0.712731140201   0.04546222267327548   6.84168061845   2.56046341226   0.572927956504   0.0299697745487   0.125
h1743_B   80144-01-01-00   0.08598196905475637   4.92368794011   2.37865535559   0.02197124334258275   9.25   0.454872020144   0.229390036684   0.0569028672819   0.125
h1743_B   80146-01-48-00   0.06925403999037381   5.51822170314   2.38426438704   0.02789774443236871   9.25000000025   3.48205374348   0.323829420274   0.0357136958128   0.125
h1743_B   80146-01-48-00   0.07378351590704098   5.48370876653   2.57988049702   0.030209302519144558   9.25   3.71019337169   0.323829420274   0.0467686302665   0.125
h1743_B   80146-01-51-00   0.06304487849295368   4.37996816158   1.73184417388   0.12861950851388526   9.4378505707   0.00175024600676   -0.12030311926799997   0.0182611421334   0.125
h1743_B   80146-01-52-00   0.04666640032435331   5.13012268775   1.14541185244   0.03840526003431757   8.80512282273   4.26246478829   -0.033916332464000054   0.0221636836453   0.125
h1743_B   80146-01-52-01   0.05003115165469294   5.07160001437   1.34745916833   0.034957000749920454   9.26382579374   3.08117263541   -0.03816873262499998   0.0232174588998   0.125
h1743_B   80146-01-54-00   0.04437361161641351   4.79363161828   1.86160011546   0.01238386618158873   10.75   0.122705726335   0.032914505717   0.037434936462   0.125
h1743_B   80146-01-55-00   0.05134029728258381   5.16303104902   1.43106037971   0.03785233517933049   9.25000000105   5.20697353846   -0.06023109675299998   0.032317994186   0.125
h1743_B   80146-01-58-00   0.023874515660260498   3.77430359351   1.0974231524   0.04206337228558774   7.525   6.54250525169   -0.12176773821700004   0.0899852052765   0.125
h1743_B   80146-01-59-00   0.06089296161486922   5.17731354983   1.97283645936   0.032999822126248426   9.05330200027   3.26561621395   0.0832603399108   0.0514425234124   0.125
h1743_B   80146-01-60-00   0.07178295912433065   5.34112738845   2.57631410947   0.02377535039971062   9.25   2.63469045016   0.0885312470924   0.0454398271589   0.125
h1743_B   80146-01-62-00   0.037667480315335004   4.51136694358   1.11885857736   0.036884684833647624   9.03718935447   2.59792255653   0.0   0.0370635435405   0.125
h1743_B   80146-01-66-00   0.05446195366882192   5.17069761546   1.28341665414   0.0339600449517694   9.28007761508   3.60421775871   -0.005170371580999977   0.0471288501882   0.125
h1743_B   80146-01-67-00   0.05768666061775105   5.21230585993   1.50322432994   0.040164356466362496   9.01875000027   5.30070170898   0.0701926600682   0.0414265673118   0.125
h1743_B   95360-14-04-00   0.06771391784124031   3.56590672708   0.633927832646   0.028056057714869336   7.00336788237   1.55817160408   0.56623339679   0.0677181232551   0.125
h1743_B   95360-14-04-00   0.06759944406429486   3.56623621146   0.63054403558   0.028150561194922423   7.00522670957   1.5551777814   0.56623339679   0.0651980836501   0.125
4u1543_B   70133-01-11-00   0.09704663921541967   7.37877850825   1.07827093301   0.024902792590806685   14.5890176598   2.09884066738   0.648912174084   0.0188870383731   0.125
4u1543_B   70133-01-16-00   0.10194557516870312   7.07528082762   1.63573482821   0.03891075804074525   12.5543991341   9.05355283087   0.611550808553   0.0331771209552   0.125
xtej1817_B   91110-02-07-00   0.029531212583654615   5.41740074248   0.935161593179   0.01623592746579354   10.9065632702   1.97762071206   -0.17009417339300004   0.0237477036073   0.125
xtej1817_B   91110-02-18-00   0.027387398740016375   4.73286782578   1.54164151284   0.013506297564846484   10.2498586187   0.211477680245   -0.11031489310300002   0.0350226757595   0.125
xtej1817_B   91110-02-29-00   0.08940020472671713   5.53055855302   1.13595009492   0.030294986847261705   10.2822754693   2.89798147285   0.56879093284   0.0157889033   0.125
xtej1817_B   92082-01-02-03   0.0699720996868071   4.87322142135   0.524623935756   0.022208642088787763   9.57013601863   1.0753442964   0.535619415993   0.0424139290704   0.125
