SOURCENAME	OBSID		FUND_AMP		FUND_FREQ 	FUND_FWHM	HARM_AMP		HARM_FREQ	HARM_FWHM	PHASE_MEAN	PHASE_ERROR FREQSTEP
maxij1659   95108-01-01-00   0.1617797764979763   2.67814342464   0.344521098957   0.07673205306601066   5.48677138699   0.773191969914   0.210849414053   0.087427019873   0.125
maxij1659   95108-01-02-00   0.16911417679502957   2.58344052355   0.380930995971   0.06862885499808234   5.22736476339   0.714415811215   0.213531098215   0.0186029632293   0.125
maxij1659   95108-01-03-00   0.1560989444992341   3.04210187906   0.432770762249   0.060314911426973025   6.15016203032   0.652264312869   0.141664933999   0.0156973735611   0.125
maxij1659   95108-01-04-00   0.14968804684512232   3.07836506061   0.383783347018   0.07930981817378499   5.55   2.79150549921   0.175819758602   0.0155053196179   0.125
maxij1659   95108-01-05-00   0.1506526413852675   3.32229052429   0.396688223171   0.03476683698619808   6.49836993955   0.295201248584   -0.010477077645000055   0.0627969113162   0.125
maxij1659   95108-01-06-00   0.1295023277951904   4.57108703266   0.461580928531   0.03636753276761378   9.22409808016   0.74645447288   0.0994514022805   0.0242204479712   0.125
maxij1659   95108-01-07-00   0.12870840085373736   4.39872345139   0.494441558805   0.042780261033910194   8.86798796059   0.805768903756   0.0872084265156   0.0382836797356   0.125
maxij1659   95108-01-08-00   0.1193091761631696   4.84282984529   0.52041852492   0.028718716495141614   9.53319579773   0.705348035934   0.0328469204852   0.0274161615779   0.125
maxij1659   95108-01-09-00   0.12309542353753208   4.74792572837   0.557029293452   6.910406922525489e-12   9.25181674713   9.98788996979   -0.001510052818999963   0.0337557172182   0.125
maxij1659   95108-01-11-00   0.12968801496046348   4.63773650807   0.275032902642   0.09110488149042457   8.55625   6.10347908975   0.0755486773395   0.0450940673845   0.125
maxij1659   95108-01-12-00   0.11469343025024602   4.75415584455   0.467704919892   0.03828808982818301   9.80910697699   0.00849422307123   0.0   0.0268693087897   0.125
maxij1659   95108-01-15-00   0.1088083915479251   5.0912359801   0.498680774422   0.02116691115883157   10.2020777578   0.0970384561887   0.0   0.0212601401078   0.125
maxij1659   95108-01-16-00   0.07806819490594319   6.00783174419   0.612116926858   0.011074683924583932   12.63125   0.369175990599   -0.07038344865500001   0.0404907942267   0.125
maxij1659   95108-01-17-00   0.06150439796305848   7.04038014388   0.891929210135   1.4284387389229256e-13   14.5403100844   8.28809723512   -0.06651249982600005   0.0424247822413   0.125
maxij1659   95108-01-23-00   0.09977742487702643   5.34322410017   0.503104912063   0.03361660752774861   11.2874999897   1.74561470049   0.00637501088505   0.0918067287986   0.125
maxij1659   95108-01-26-00   0.0633102034934166   6.63570854485   0.6763402233   1.5775210545444612e-16   12.2442614714   2.73795987006   -0.046717228921000054   0.0573824688412   0.125
maxij1659   95118-01-19-00   0.20182467196248594   2.16738099286   0.46860336936   0.17621831841219365   4.06951350906   3.89644652777   0.259565968386   0.0441386505553   0.125
maxij1659   95118-01-20-00   0.18193414396561952   2.03615586202   0.444377282698   0.1849720194053086   4.0161958526   3.98908837702   0.138040176876   0.0397284726102   0.125
maxij1659   95118-01-21-00   0.1871632806417113   1.62887125176   0.496327633105   0.20039024980623657   3.00625   4.33145971853   0.222790867859   0.0355952554183   0.125
maxij1659   95358-01-03-00   0.1611915601162972   2.78382286283   0.398405861666   0.07022734517336658   5.50344847208   0.937720066999   0.144148129747   0.0192822348673   0.125
maxij1659   95358-01-03-01   0.15667761484994874   3.17511646137   0.421130242299   0.059066471068402   6.39573398226   0.812225490054   0.124747977871   0.0217462696778   0.125
swiftj1753   91094-01-01-01   0.15756727804276188   0.817586964652   0.269202251487   0.24875888638511942   1.3875   2.50648667788   0.226353421606   0.020619633715   0.125
swiftj1753   91094-01-01-02   0.16818422955318268   0.838479813996   0.261085265232   0.15381887999217578   1.61875   1.39331737115   0.287014432535   0.0413061100087   0.125
swiftj1753   91094-01-01-03   0.16447227719965923   0.816973504751   0.22890697957   0.240752740066258   1.48   2.31213877629   0.266569133233   0.0417185625231   0.125
swiftj1753   91094-01-01-04   0.1913071360642743   0.833651994271   0.333554680206   0.23578008575983134   1.62714479458   2.49395325598   0.286486555557   0.0316524666584   0.125
swiftj1753   91094-01-02-00   0.19033127086618995   0.719732404863   0.268748376941   0.24275043937645585   1.38750002177   2.40348101847   -0.10539229168499997   0.0282333248874   0.125
swiftj1753   91094-01-02-01   0.1564534826532806   0.753805401773   0.179124921137   0.1583319031328526   1.3875   1.35876293864   0.343224123312   0.0421747899748   0.125
swiftj1753   91094-01-02-02   0.18402898636429393   0.706948350585   0.267223153626   0.24240104082634994   1.3875   2.34753317389   -0.06189362157199996   0.0502762148587   0.125
swiftj1753   91423-01-01-04   0.1719608175889178   0.904327606148   0.261292192303   0.2422064105034937   1.61875   2.57159821947   0.129595124094   0.072300128097   0.125
swiftj1753   91423-01-02-00   0.1751741516773696   0.613481246487   0.203844121102   0.15623277990477855   1.2187516651   1.05343865864   0.271666818344   0.0545115114603   0.125
swiftj1753   91423-01-02-05   0.17773937895087122   0.599689710403   0.22005825616   0.24489289704415804   1.15625   2.04087742352   0.163639040266   0.04873653371   0.125
swiftj1753   91423-01-02-06   0.1717820311104271   0.585848758036   0.25256065162   0.24143244443872452   1.15625   2.19858945794   0.294134936823   0.0365643294053   0.125
swiftj1753   91423-01-03-02   0.15150720327545375   0.539455881006   0.157746648644   0.24483513615688574   0.925000386283   2.04061238883   0.345840539578   0.0197806338142   0.125
swiftj1753   91423-01-03-04   0.1527649273910628   0.523074991665   0.159334783164   0.25155435464478215   0.925000000276   2.17205925892   0.327922453639   0.0329268010112   0.125
swiftj1753   91423-01-03-05   0.14563718183102783   0.5320296021   0.157247896321   0.1844195094738539   0.925   1.24877749385   0.331914383579   0.0519943135374   0.125
swiftj1753   91423-01-03-07   0.18359945530952093   0.461370816824   0.244817183795   0.2441522737296162   0.925   1.90554297363   -0.09469398508000004   0.0117326958165   0.125
swiftj1753   91423-01-04-01   0.1693287381407676   0.48266140517   0.240482648778   0.24401506041472756   0.925   1.74071856068   -0.11789265648299996   0.0233153921741   0.125
swiftj1753   91423-01-04-02   0.16993989174094343   0.442965384042   0.216530075784   0.23796990825481587   0.925000000011   1.72527641836   -0.11252161924199999   0.0463661312223   0.125
swiftj1753   91423-01-04-03   0.16557810767313813   0.432927152213   0.209408979611   0.16601053821367107   0.925   0.970453545315   -0.11247306650300004   0.0313988880369   0.125
swiftj1753   91423-01-04-04   0.05164776403328099   4.59073659836   1.02732973964   0.06820015294123902   9.25   6.40792213007   0.0939572519127   0.0569173792689   0.125
swiftj1753   91423-01-04-05   0.15701806488579087   0.484406156524   0.238508021869   0.23562089218386653   0.925   1.7487122705   -0.016089500632999965   0.0407971346632   0.125
swiftj1753   91423-01-04-06   0.15165183438913832   0.477039410132   0.238757750631   0.23522939183871502   0.925   1.83641796873   -0.09076930301200004   0.0406764083921   0.125
xtej1650   60113-01-07-00   0.10245258693597009   1.9089302878   0.598334905542   0.20653682713993177   3.46875   5.9744953623   -0.064953455198   0.039172633226   0.125
xtej1650   60113-01-10-01   0.1385699805432306   2.89765942623   1.65516628966   0.1616760449964024   5.55   8.36956767767   -0.031161190762999946   0.0241128062002   0.125
xtej1650   60113-01-12-00   0.08422565024816947   4.0809857811   0.702412324825   0.11104481441073372   7.4   8.48295775015   0.330089719764   0.0424257035659   0.125
